#""Wavelength (nm)""",Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,Photon Flux (Global Tilt)
280,4.7309E-23,2.5361E-26,2.9915E-21
280.5,1.2307E-21,1.0917E-24,7.8100E-20
281,5.6895E-21,6.1253E-24,3.6234E-19
281.5,1.5662E-19,2.7479E-22,1.0010E-17
282,1.1946E-18,2.8346E-21,7.6622E-17
282.5,4.5436E-18,1.3271E-20,2.9246E-16
283,1.8452E-17,6.7646E-20,1.1919E-15
283.5,3.5360E-17,1.4614E-19,2.2922E-15
284,7.2670E-16,4.9838E-18,4.7274E-14
284.5,2.4856E-15,2.1624E-17,1.6227E-13
285,8.0142E-15,8.9998E-17,5.2503E-13
285.5,4.2613E-14,6.4424E-16,2.8015E-12
286,1.3684E-13,2.3503E-15,9.0277E-12
286.5,8.3823E-13,1.8458E-14,5.5494E-11
287,2.7367E-12,7.2547E-14,1.8181E-10
287.5,1.0903E-11,3.6618E-13,7.2687E-10
288,6.2337E-11,2.8061E-12,4.1703E-09
288.5,1.7162E-10,9.0651E-12,1.1521E-08
289,5.6265E-10,3.4978E-11,3.7902E-08
289.5,2.0749E-09,1.5368E-10,1.4026E-07
290,6.0168E-09,5.1454E-10,4.0813E-07
290.5,1.3783E-08,1.3303E-09,9.3814E-07
291,3.5052E-08,3.8965E-09,2.3940E-06
291.5,1.0913E-07,1.4425E-08,7.4792E-06
292,2.6830E-07,4.0789E-08,1.8451E-05
292.5,4.2685E-07,7.0414E-08,2.9455E-05
293,8.6466E-07,1.5760E-07,5.9871E-05
293.5,2.2707E-06,4.7095E-07,1.5776E-04
294,4.1744E-06,9.4558E-07,2.9102E-04
294.5,6.5911E-06,1.5965E-06,4.6107E-04
295,1.2290E-05,3.2246E-06,8.6264E-04
295.5,2.7826E-05,8.0206E-06,1.9597E-03
296,4.7904E-05,1.4737E-05,3.3852E-03
296.5,7.1345E-05,2.3312E-05,5.0588E-03
297,9.6800E-05,3.3187E-05,6.8869E-03
297.5,1.8608E-04,6.7912E-05,1.3283E-02
298,2.8988E-04,1.1127E-04,2.0763E-02
298.5,3.5789E-04,1.4270E-04,2.5720E-02
299,4.9211E-04,2.0323E-04,3.5484E-02
299.5,8.6068E-04,3.7386E-04,6.2269E-02
300,1.0205E-03,4.5631E-04,7.4078E-02
300.5,1.2450E-03,5.7207E-04,9.0676E-02
301,1.9300E-03,9.1926E-04,1.4103E-01
301.5,2.6914E-03,1.3201E-03,1.9733E-01
302,2.9209E-03,1.4570E-03,2.1486E-01
302.5,4.2840E-03,2.1910E-03,3.1618E-01
303,7.0945E-03,3.7332E-03,5.2534E-01
303.5,8.9795E-03,4.8044E-03,6.6712E-01
304,9.4701E-03,5.0973E-03,7.0589E-01
304.5,1.1953E-02,6.4675E-03,8.9389E-01
305,1.6463E-02,8.9336E-03,1.2352E+00
305.5,1.8719E-02,1.0186E-02,1.4091E+00
306,1.8577E-02,1.0150E-02,1.4030E+00
306.5,2.1108E-02,1.1568E-02,1.5993E+00
307,2.7849E-02,1.5246E-02,2.1170E+00
307.5,3.5635E-02,1.9468E-02,2.7177E+00
308,3.7837E-02,2.0753E-02,2.8950E+00
308.5,4.1430E-02,2.2750E-02,3.1802E+00
309,4.0534E-02,2.2298E-02,3.1215E+00
309.5,4.3306E-02,2.3672E-02,3.3458E+00
310,5.0939E-02,2.7826E-02,3.9483E+00
310.5,6.5540E-02,3.5879E-02,5.0964E+00
311,8.2922E-02,4.5392E-02,6.4688E+00
311.5,8.4080E-02,4.6156E-02,6.5803E+00
312,9.3376E-02,5.0898E-02,7.3313E+00
312.5,9.8984E-02,5.3766E-02,7.7965E+00
313,1.0733E-01,5.8323E-02,8.4809E+00
313.5,1.0757E-01,5.8999E-02,8.5271E+00
314,1.1969E-01,6.5266E-02,9.5181E+00
314.5,1.3060E-01,7.0476E-02,1.0419E+01
315,1.3625E-01,7.3686E-02,1.0904E+01
315.5,1.1838E-01,6.4833E-02,9.5041E+00
316,1.2348E-01,6.7088E-02,9.9450E+00
316.5,1.5036E-01,8.1118E-02,1.2148E+01
317,1.7158E-01,9.3020E-02,1.3907E+01
317.5,1.8245E-01,9.9712E-02,1.4834E+01
318,1.7594E-01,9.5815E-02,1.4350E+01
318.5,1.8591E-01,1.0005E-01,1.5211E+01
319,2.0470E-01,1.0971E-01,1.6801E+01
319.5,1.9589E-01,1.0693E-01,1.6128E+01
320,2.0527E-01,1.1277E-01,1.6953E+01
320.5,2.4525E-01,1.3305E-01,2.0319E+01
321,2.5024E-01,1.3414E-01,2.0797E+01
321.5,2.3843E-01,1.2817E-01,1.9877E+01
322,2.2203E-01,1.2200E-01,1.8568E+01
322.5,2.1709E-01,1.1970E-01,1.8211E+01
323,2.1226E-01,1.1623E-01,1.7861E+01
323.5,2.4861E-01,1.3393E-01,2.0985E+01
324,2.7537E-01,1.4852E-01,2.3315E+01
324.5,2.8321E-01,1.5467E-01,2.4053E+01
325,2.7894E-01,1.5504E-01,2.3764E+01
325.5,3.2436E-01,1.7936E-01,2.7718E+01
326,3.8120E-01,2.0868E-01,3.2675E+01
326.5,4.0722E-01,2.2162E-01,3.5013E+01
327,3.9806E-01,2.1834E-01,3.4330E+01
327.5,3.8465E-01,2.1285E-01,3.3275E+01
328,3.5116E-01,1.9773E-01,3.0471E+01
328.5,3.7164E-01,2.0675E-01,3.2346E+01
329,4.2235E-01,2.3297E-01,3.6872E+01
329.5,4.6878E-01,2.5864E-01,4.1050E+01
330,4.7139E-01,2.6192E-01,4.1404E+01
330.5,4.2800E-01,2.4103E-01,3.7707E+01
331,4.0262E-01,2.2835E-01,3.5578E+01
331.5,4.1806E-01,2.3635E-01,3.7054E+01
332,4.3623E-01,2.4508E-01,3.8782E+01
332.5,4.3919E-01,2.4655E-01,3.9162E+01
333,4.2944E-01,2.4263E-01,3.8408E+01
333.5,4.0724E-01,2.3265E-01,3.6532E+01
334,4.1497E-01,2.3823E-01,3.7337E+01
334.5,4.4509E-01,2.5434E-01,4.0167E+01
335,4.6388E-01,2.6477E-01,4.1988E+01
335.5,4.5313E-01,2.5894E-01,4.1138E+01
336,4.1519E-01,2.3813E-01,3.7806E+01
336.5,3.8214E-01,2.2099E-01,3.4900E+01
337,3.7380E-01,2.1767E-01,3.4240E+01
337.5,4.0051E-01,2.3434E-01,3.6795E+01
338,4.3411E-01,2.5321E-01,4.0001E+01
338.5,4.5527E-01,2.6549E-01,4.2075E+01
339,4.6355E-01,2.7096E-01,4.2966E+01
339.5,4.7446E-01,2.7847E-01,4.4108E+01
340,5.0180E-01,2.9659E-01,4.6787E+01
340.5,5.0071E-01,2.9674E-01,4.6822E+01
341,4.7139E-01,2.7932E-01,4.4210E+01
341.5,4.6935E-01,2.7853E-01,4.4148E+01
342,4.8934E-01,2.9121E-01,4.6163E+01
342.5,5.0767E-01,3.0296E-01,4.8033E+01
343,5.1489E-01,3.0857E-01,4.8858E+01
343.5,4.8609E-01,2.9246E-01,4.6260E+01
344,4.1843E-01,2.5352E-01,3.9937E+01
344.5,4.0307E-01,2.4439E-01,3.8583E+01
345,4.5898E-01,2.7854E-01,4.4062E+01
345.5,4.8932E-01,2.9761E-01,4.7111E+01
346,4.7778E-01,2.9132E-01,4.6133E+01
346.5,4.8657E-01,2.9747E-01,4.7118E+01
347,4.9404E-01,3.0318E-01,4.7979E+01
347.5,4.7674E-01,2.9351E-01,4.6433E+01
348,4.7511E-01,2.9306E-01,4.6407E+01
348.5,4.8336E-01,2.9884E-01,4.7349E+01
349,4.6564E-01,2.8864E-01,4.5744E+01
349.5,4.7805E-01,2.9720E-01,4.7098E+01
350,5.2798E-01,3.2913E-01,5.2166E+01
350.5,5.6741E-01,3.5471E-01,5.6222E+01
351,5.5172E-01,3.4603E-01,5.4823E+01
351.5,5.3022E-01,3.3388E-01,5.2837E+01
352,5.1791E-01,3.2674E-01,5.1758E+01
352.5,4.8962E-01,3.0954E-01,4.9069E+01
353,5.2040E-01,3.2975E-01,5.2302E+01
353.5,5.7228E-01,3.6351E-01,5.7679E+01
354,6.0498E-01,3.8523E-01,6.1148E+01
354.5,6.1156E-01,3.9043E-01,6.1988E+01
355,6.1140E-01,3.9140E-01,6.2146E+01
355.5,5.9028E-01,3.7878E-01,6.0169E+01
356,5.5387E-01,3.5627E-01,5.6616E+01
356.5,5.1942E-01,3.3495E-01,5.3244E+01
357,4.5673E-01,2.9527E-01,4.6949E+01
357.5,4.6215E-01,2.9950E-01,4.7640E+01
358,4.3006E-01,2.7936E-01,4.4456E+01
358.5,3.9926E-01,2.5998E-01,4.1387E+01
359,4.6953E-01,3.0650E-01,4.8807E+01
359.5,5.6549E-01,3.7013E-01,5.8946E+01
360,5.9817E-01,3.9240E-01,6.2526E+01
360.5,5.6531E-01,3.7167E-01,5.9256E+01
361,5.2024E-01,3.4278E-01,5.4683E+01
361.5,5.0956E-01,3.3647E-01,5.3709E+01
362,5.3420E-01,3.5350E-01,5.6462E+01
362.5,5.8510E-01,3.8804E-01,6.2013E+01
363,6.0191E-01,4.0005E-01,6.3970E+01
363.5,5.8541E-01,3.8994E-01,6.2388E+01
364,6.0628E-01,4.0472E-01,6.4790E+01
364.5,6.0058E-01,4.0179E-01,6.4358E+01
365,6.2359E-01,4.1810E-01,6.7007E+01
365.5,6.8628E-01,4.6110E-01,7.3945E+01
366,7.3532E-01,4.9508E-01,7.9446E+01
366.5,7.3658E-01,4.9694E-01,7.9800E+01
367,7.2285E-01,4.8869E-01,7.8526E+01
367.5,7.0914E-01,4.8041E-01,7.7247E+01
368,6.6759E-01,4.5319E-01,7.2919E+01
368.5,6.6310E-01,4.5106E-01,7.2625E+01
369,6.9315E-01,4.7244E-01,7.6123E+01
369.5,7.4469E-01,5.0856E-01,8.2005E+01
370,7.5507E-01,5.1666E-01,8.3373E+01
370.5,6.8261E-01,4.6798E-01,7.5576E+01
371,6.9338E-01,4.7628E-01,7.6976E+01
371.5,7.2051E-01,4.9587E-01,8.0203E+01
372,6.7444E-01,4.6506E-01,7.5277E+01
372.5,6.4253E-01,4.4389E-01,7.1908E+01
373,6.1886E-01,4.2833E-01,6.9445E+01
373.5,5.5786E-01,3.8682E-01,6.2768E+01
374,5.5640E-01,3.8651E-01,6.2772E+01
374.5,5.5227E-01,3.8435E-01,6.2472E+01
375,5.8930E-01,4.1087E-01,6.6839E+01
375.5,6.5162E-01,4.5514E-01,7.4105E+01
376,6.7480E-01,4.7218E-01,7.6946E+01
376.5,6.6390E-01,4.6538E-01,7.5904E+01
377,7.1225E-01,5.0014E-01,8.1649E+01
377.5,7.9455E-01,5.5890E-01,9.1325E+01
378,8.5595E-01,6.0314E-01,9.8643E+01
378.5,8.3418E-01,5.8892E-01,9.6389E+01
379,7.4389E-01,5.2616E-01,8.6183E+01
379.5,6.6683E-01,4.7255E-01,7.7459E+01
380,7.0077E-01,4.9751E-01,8.1616E+01
380.5,7.5075E-01,5.3396E-01,8.7667E+01
381,7.6383E-01,5.4424E-01,8.9429E+01
381.5,6.8837E-01,4.9135E-01,8.0806E+01
382,5.8678E-01,4.1958E-01,6.9061E+01
382.5,5.0762E-01,3.6361E-01,5.9901E+01
383,4.5499E-01,3.2648E-01,5.3831E+01
383.5,4.4049E-01,3.1658E-01,5.2252E+01
384,5.0968E-01,3.6689E-01,6.0617E+01
384.5,6.1359E-01,4.4239E-01,7.3165E+01
385,6.7355E-01,4.8638E-01,8.0524E+01
385.5,6.4363E-01,4.6549E-01,7.7147E+01
386,6.2100E-01,4.4984E-01,7.4628E+01
386.5,6.4570E-01,4.6848E-01,7.7797E+01
387,6.5147E-01,4.7343E-01,7.8696E+01
387.5,6.4204E-01,4.6731E-01,7.7757E+01
388,6.3582E-01,4.6350E-01,7.7202E+01
388.5,6.3136E-01,4.6096E-01,7.6859E+01
389,6.8543E-01,5.0121E-01,8.3656E+01
389.5,7.5970E-01,5.5637E-01,9.2959E+01
390,7.9699E-01,5.8457E-01,9.7772E+01
390.5,8.0371E-01,5.9038E-01,9.8850E+01
391,8.5138E-01,6.2634E-01,1.0498E+02
391.5,8.6344E-01,6.3617E-01,1.0674E+02
392,7.9493E-01,5.8656E-01,9.8522E+01
392.5,6.6257E-01,4.8961E-01,8.2327E+01
393,4.7975E-01,3.5502E-01,5.9763E+01
393.5,3.8152E-01,2.8272E-01,4.7648E+01
394,4.9567E-01,3.6780E-01,6.2061E+01
394.5,6.8385E-01,5.0811E-01,8.5840E+01
395,8.0772E-01,6.0096E-01,1.0165E+02
395.5,8.6038E-01,6.4101E-01,1.0855E+02
396,7.5655E-01,5.6443E-01,9.5689E+01
396.5,5.5017E-01,4.1101E-01,6.9762E+01
397,4.2619E-01,3.1882E-01,5.4177E+01
397.5,6.2945E-01,4.7151E-01,8.0218E+01
398,8.5249E-01,6.3944E-01,1.0892E+02
398.5,1.0069E+00,7.5622E-01,1.2897E+02
399,1.0693E+00,8.0408E-01,1.3730E+02
399.5,1.1021E+00,8.2980E-01,1.4187E+02
400,1.1141E+00,8.3989E-01,1.4377E+02
401,1.1603E+00,8.7691E-01,1.5048E+02
402,1.2061E+00,9.1387E-01,1.5721E+02
403,1.1613E+00,8.8211E-01,1.5212E+02
404,1.1801E+00,8.9849E-01,1.5535E+02
405,1.1511E+00,8.7849E-01,1.5228E+02
406,1.1227E+00,8.5878E-01,1.4926E+02
407,1.1026E+00,8.4545E-01,1.4731E+02
408,1.1514E+00,8.8488E-01,1.5459E+02
409,1.2299E+00,9.4717E-01,1.6594E+02
410,1.0485E+00,8.0910E-01,1.4216E+02
411,1.1738E+00,9.0770E-01,1.5992E+02
412,1.2478E+00,9.6686E-01,1.7083E+02
413,1.1971E+00,9.2951E-01,1.6469E+02
414,1.1842E+00,9.2134E-01,1.6370E+02
415,1.2258E+00,9.5569E-01,1.7027E+02
416,1.2624E+00,9.8628E-01,1.7620E+02
417,1.2312E+00,9.6392E-01,1.7268E+02
418,1.1777E+00,9.2392E-01,1.6597E+02
419,1.2258E+00,9.6354E-01,1.7357E+02
420,1.1232E+00,8.8467E-01,1.5980E+02
421,1.2757E+00,1.0067E+00,1.8237E+02
422,1.2583E+00,9.9499E-01,1.8074E+02
423,1.2184E+00,9.6531E-01,1.7583E+02
424,1.2117E+00,9.6182E-01,1.7570E+02
425,1.2488E+00,9.9312E-01,1.8193E+02
426,1.2135E+00,9.6667E-01,1.7762E+02
427,1.1724E+00,9.3550E-01,1.7241E+02
428,1.1839E+00,9.4625E-01,1.7492E+02
429,1.0963E+00,8.7766E-01,1.6273E+02
430,8.7462E-01,7.0134E-01,1.3043E+02
431,7.9394E-01,6.3779E-01,1.1895E+02
432,1.3207E+00,1.0628E+00,1.9879E+02
433,1.2288E+00,9.9050E-01,1.8582E+02
434,1.1352E+00,9.1653E-01,1.7246E+02
435,1.2452E+00,1.0070E+00,1.9004E+02
436,1.3659E+00,1.1061E+00,2.0942E+02
437,1.3943E+00,1.1306E+00,2.1476E+02
438,1.2238E+00,9.9368E-01,1.8936E+02
439,1.1775E+00,9.5753E-01,1.8303E+02
440,1.3499E+00,1.0993E+00,2.1079E+02
441,1.3313E+00,1.0859E+00,2.0883E+02
442,1.4250E+00,1.1640E+00,2.2454E+02
443,1.4453E+00,1.1823E+00,2.2877E+02
444,1.4084E+00,1.1537E+00,2.2394E+02
445,1.4619E+00,1.1992E+00,2.3349E+02
446,1.3108E+00,1.0766E+00,2.1030E+02
447,1.4903E+00,1.2257E+00,2.4017E+02
448,1.5081E+00,1.2422E+00,2.4413E+02
449,1.5045E+00,1.2409E+00,2.4463E+02
450,1.5595E+00,1.2881E+00,2.5471E+02
451,1.6173E+00,1.3376E+00,2.6532E+02
452,1.5482E+00,1.2822E+00,2.5512E+02
453,1.4297E+00,1.1854E+00,2.3663E+02
454,1.5335E+00,1.2730E+00,2.5493E+02
455,1.5224E+00,1.2655E+00,2.5421E+02
456,1.5724E+00,1.3088E+00,2.6371E+02
457,1.5854E+00,1.3213E+00,2.6706E+02
458,1.5514E+00,1.2946E+00,2.6248E+02
459,1.5391E+00,1.2859E+00,2.6153E+02
460,1.5291E+00,1.2791E+00,2.6097E+02
461,1.5827E+00,1.3255E+00,2.7129E+02
462,1.5975E+00,1.3392E+00,2.7502E+02
463,1.6031E+00,1.3452E+00,2.7718E+02
464,1.5544E+00,1.3055E+00,2.6992E+02
465,1.5350E+00,1.2905E+00,2.6770E+02
466,1.5673E+00,1.3190E+00,2.7451E+02
467,1.4973E+00,1.2616E+00,2.6338E+02
468,1.5619E+00,1.3178E+00,2.7592E+02
469,1.5682E+00,1.3247E+00,2.7822E+02
470,1.5077E+00,1.2749E+00,2.6862E+02
471,1.5331E+00,1.2975E+00,2.7431E+02
472,1.6126E+00,1.3661E+00,2.8976E+02
473,1.5499E+00,1.3144E+00,2.7968E+02
474,1.5671E+00,1.3304E+00,2.8398E+02
475,1.6185E+00,1.3755E+00,2.9453E+02
476,1.5631E+00,1.3299E+00,2.8565E+02
477,1.5724E+00,1.3392E+00,2.8856E+02
478,1.6230E+00,1.3839E+00,2.9909E+02
479,1.5916E+00,1.3586E+00,2.9454E+02
480,1.6181E+00,1.3825E+00,3.0069E+02
481,1.6177E+00,1.3836E+00,3.0187E+02
482,1.6236E+00,1.3899E+00,3.0423E+02
483,1.6038E+00,1.3742E+00,3.0177E+02
484,1.5734E+00,1.3492E+00,2.9728E+02
485,1.5683E+00,1.3457E+00,2.9754E+02
486,1.2716E+00,1.0918E+00,2.4225E+02
487,1.4241E+00,1.2235E+00,2.7242E+02
488,1.5413E+00,1.3252E+00,2.9605E+02
489,1.4519E+00,1.2492E+00,2.8002E+02
490,1.6224E+00,1.3968E+00,3.1418E+02
491,1.5595E+00,1.3435E+00,3.0324E+02
492,1.4869E+00,1.2818E+00,2.9030E+02
493,1.5903E+00,1.3719E+00,3.1175E+02
494,1.5525E+00,1.3402E+00,3.0558E+02
495,1.6485E+00,1.4238E+00,3.2579E+02
496,1.5676E+00,1.3548E+00,3.1105E+02
497,1.5944E+00,1.3788E+00,3.1765E+02
498,1.5509E+00,1.3421E+00,3.1022E+02
499,1.5507E+00,1.3429E+00,3.1143E+02
500,1.5451E+00,1.3391E+00,3.1155E+02
501,1.4978E+00,1.2990E+00,3.0322E+02
502,1.4966E+00,1.2991E+00,3.0419E+02
503,1.5653E+00,1.3597E+00,3.1942E+02
504,1.4587E+00,1.2682E+00,2.9886E+02
505,1.5635E+00,1.3598E+00,3.2160E+02
506,1.6264E+00,1.4153E+00,3.3586E+02
507,1.5560E+00,1.3548E+00,3.2260E+02
508,1.5165E+00,1.3210E+00,3.1565E+02
509,1.5893E+00,1.3850E+00,3.3210E+02
510,1.5481E+00,1.3497E+00,3.2477E+02
511,1.5769E+00,1.3753E+00,3.3211E+02
512,1.6186E+00,1.4125E+00,3.4223E+02
513,1.5206E+00,1.3277E+00,3.2276E+02
514,1.4885E+00,1.3003E+00,3.1718E+02
515,1.5314E+00,1.3385E+00,3.2759E+02
516,1.5455E+00,1.3514E+00,3.3190E+02
517,1.2594E+00,1.1017E+00,2.7151E+02
518,1.4403E+00,1.2605E+00,3.1171E+02
519,1.3957E+00,1.2222E+00,3.0322E+02
520,1.5236E+00,1.3349E+00,3.3229E+02
521,1.5346E+00,1.3452E+00,3.3597E+02
522,1.5690E+00,1.3760E+00,3.4482E+02
523,1.4789E+00,1.2976E+00,3.2627E+02
524,1.5905E+00,1.3962E+00,3.5223E+02
525,1.5781E+00,1.3859E+00,3.5082E+02
526,1.5341E+00,1.3479E+00,3.4234E+02
527,1.3417E+00,1.1795E+00,3.0055E+02
528,1.5357E+00,1.3508E+00,3.4531E+02
529,1.6071E+00,1.4142E+00,3.6273E+02
530,1.5446E+00,1.3598E+00,3.4995E+02
531,1.6292E+00,1.4348E+00,3.7051E+02
532,1.5998E+00,1.4094E+00,3.6519E+02
533,1.4286E+00,1.2590E+00,3.2734E+02
534,1.5302E+00,1.3491E+00,3.5194E+02
535,1.5535E+00,1.3701E+00,3.5863E+02
536,1.6199E+00,1.4292E+00,3.7536E+02
537,1.4989E+00,1.3229E+00,3.4862E+02
538,1.5738E+00,1.3896E+00,3.6741E+02
539,1.5352E+00,1.3558E+00,3.5973E+02
540,1.4825E+00,1.3096E+00,3.4867E+02
541,1.4251E+00,1.2595E+00,3.3641E+02
542,1.5511E+00,1.3714E+00,3.6751E+02
543,1.5256E+00,1.3493E+00,3.6281E+02
544,1.5792E+00,1.3971E+00,3.7694E+02
545,1.5435E+00,1.3657E+00,3.6977E+02
546,1.5291E+00,1.3536E+00,3.6767E+02
547,1.5490E+00,1.3717E+00,3.7382E+02
548,1.5049E+00,1.3331E+00,3.6450E+02
549,1.5520E+00,1.3752E+00,3.7729E+02
550,1.5399E+00,1.3648E+00,3.7571E+02
551,1.5382E+00,1.3639E+00,3.7666E+02
552,1.5697E+00,1.3923E+00,3.8577E+02
553,1.5250E+00,1.3533E+00,3.7614E+02
554,1.5549E+00,1.3802E+00,3.8491E+02
555,1.5634E+00,1.3883E+00,3.8841E+02
556,1.5366E+00,1.3651E+00,3.8313E+02
557,1.4988E+00,1.3321E+00,3.7505E+02
558,1.5310E+00,1.3613E+00,3.8448E+02
559,1.4483E+00,1.2885E+00,3.6502E+02
560,1.4740E+00,1.3118E+00,3.7283E+02
561,1.5595E+00,1.3885E+00,3.9586E+02
562,1.4847E+00,1.3225E+00,3.7822E+02
563,1.5408E+00,1.3731E+00,3.9391E+02
564,1.5106E+00,1.3466E+00,3.8756E+02
565,1.5201E+00,1.3555E+00,3.9138E+02
566,1.4374E+00,1.2823E+00,3.7140E+02
567,1.5320E+00,1.3673E+00,3.9725E+02
568,1.5180E+00,1.3554E+00,3.9500E+02
569,1.4807E+00,1.3228E+00,3.8666E+02
570,1.4816E+00,1.3240E+00,3.8825E+02
571,1.4331E+00,1.2810E+00,3.7686E+02
572,1.5134E+00,1.3534E+00,3.9937E+02
573,1.5198E+00,1.3595E+00,4.0247E+02
574,1.5119E+00,1.3527E+00,4.0177E+02
575,1.4777E+00,1.3225E+00,3.9405E+02
576,1.4654E+00,1.3118E+00,3.9213E+02
577,1.5023E+00,1.3452E+00,4.0341E+02
578,1.4560E+00,1.3040E+00,3.9233E+02
579,1.4770E+00,1.3230E+00,3.9937E+02
580,1.5020E+00,1.3455E+00,4.0753E+02
581,1.5089E+00,1.3518E+00,4.1082E+02
582,1.5320E+00,1.3729E+00,4.1854E+02
583,1.5479E+00,1.3872E+00,4.2434E+02
584,1.5448E+00,1.3845E+00,4.2494E+02
585,1.5324E+00,1.3737E+00,4.2298E+02
586,1.4953E+00,1.3409E+00,4.1415E+02
587,1.5281E+00,1.3708E+00,4.2468E+02
588,1.4934E+00,1.3403E+00,4.1645E+02
589,1.2894E+00,1.1582E+00,3.6079E+02
590,1.3709E+00,1.2316E+00,3.8490E+02
591,1.4662E+00,1.3171E+00,4.1305E+02
592,1.4354E+00,1.2900E+00,4.0574E+02
593,1.4561E+00,1.3086E+00,4.1299E+02
594,1.4491E+00,1.3029E+00,4.1239E+02
595,1.4308E+00,1.2870E+00,4.0855E+02
596,1.4745E+00,1.3260E+00,4.2245E+02
597,1.4788E+00,1.3303E+00,4.2510E+02
598,1.4607E+00,1.3142E+00,4.2131E+02
599,1.4606E+00,1.3145E+00,4.2269E+02
600,1.4753E+00,1.3278E+00,4.2837E+02
601,1.4579E+00,1.3123E+00,4.2473E+02
602,1.4360E+00,1.2928E+00,4.1974E+02
603,1.4664E+00,1.3205E+00,4.3005E+02
604,1.4921E+00,1.3439E+00,4.3904E+02
605,1.4895E+00,1.3418E+00,4.3973E+02
606,1.4822E+00,1.3353E+00,4.3902E+02
607,1.4911E+00,1.3434E+00,4.4312E+02
608,1.4862E+00,1.3392E+00,4.4312E+02
609,1.4749E+00,1.3292E+00,4.4120E+02
610,1.4686E+00,1.3237E+00,4.4075E+02
611,1.4611E+00,1.3170E+00,4.3994E+02
612,1.4831E+00,1.3370E+00,4.4803E+02
613,1.4621E+00,1.3182E+00,4.4313E+02
614,1.4176E+00,1.2783E+00,4.3105E+02
615,1.4697E+00,1.3254E+00,4.4835E+02
616,1.4310E+00,1.2906E+00,4.3796E+02
617,1.4128E+00,1.2744E+00,4.3380E+02
618,1.4664E+00,1.3228E+00,4.5171E+02
619,1.4733E+00,1.3292E+00,4.5531E+02
620,1.4739E+00,1.3299E+00,4.5697E+02
621,1.4802E+00,1.3359E+00,4.6040E+02
622,1.4269E+00,1.2882E+00,4.4525E+02
623,1.4165E+00,1.2793E+00,4.4343E+02
624,1.4118E+00,1.2751E+00,4.4338E+02
625,1.4026E+00,1.2667E+00,4.4190E+02
626,1.4012E+00,1.2655E+00,4.4288E+02
627,1.4417E+00,1.3022E+00,4.5713E+02
628,1.3631E+00,1.2328E+00,4.3359E+02
629,1.4114E+00,1.2758E+00,4.5039E+02
630,1.3924E+00,1.2589E+00,4.4574E+02
631,1.4161E+00,1.2799E+00,4.5476E+02
632,1.3638E+00,1.2327E+00,4.3936E+02
633,1.4508E+00,1.3110E+00,4.6887E+02
634,1.4284E+00,1.2907E+00,4.6309E+02
635,1.4458E+00,1.3065E+00,4.7021E+02
636,1.4128E+00,1.2768E+00,4.6092E+02
637,1.4610E+00,1.3204E+00,4.7815E+02
638,1.4707E+00,1.3292E+00,4.8284E+02
639,1.4646E+00,1.3238E+00,4.8234E+02
640,1.4340E+00,1.2962E+00,4.7374E+02
641,1.4348E+00,1.2970E+00,4.7549E+02
642,1.4376E+00,1.2995E+00,4.7791E+02
643,1.4525E+00,1.3130E+00,4.8436E+02
644,1.4462E+00,1.3074E+00,4.8376E+02
645,1.4567E+00,1.3170E+00,4.8879E+02
646,1.4150E+00,1.2797E+00,4.7627E+02
647,1.4086E+00,1.2744E+00,4.7559E+02
648,1.3952E+00,1.2625E+00,4.7252E+02
649,1.3519E+00,1.2234E+00,4.5927E+02
650,1.3594E+00,1.2299E+00,4.6324E+02
651,1.4447E+00,1.3071E+00,4.9383E+02
652,1.3871E+00,1.2558E+00,4.7559E+02
653,1.4311E+00,1.2950E+00,4.9219E+02
654,1.4153E+00,1.2807E+00,4.8824E+02
655,1.3499E+00,1.2220E+00,4.6711E+02
656,1.1851E+00,1.0727E+00,4.1134E+02
657,1.2393E+00,1.1218E+00,4.3146E+02
658,1.3855E+00,1.2540E+00,4.8383E+02
659,1.3905E+00,1.2586E+00,4.8705E+02
660,1.3992E+00,1.2668E+00,4.9159E+02
661,1.3933E+00,1.2618E+00,4.9100E+02
662,1.3819E+00,1.2518E+00,4.8846E+02
663,1.3844E+00,1.2539E+00,4.9082E+02
664,1.3967E+00,1.2647E+00,4.9668E+02
665,1.4214E+00,1.2871E+00,5.0698E+02
666,1.4203E+00,1.2860E+00,5.0812E+02
667,1.4102E+00,1.2767E+00,5.0602E+02
668,1.4150E+00,1.2810E+00,5.0926E+02
669,1.4394E+00,1.3032E+00,5.1960E+02
670,1.4196E+00,1.2853E+00,5.1398E+02
671,1.4169E+00,1.2829E+00,5.1454E+02
672,1.3972E+00,1.2651E+00,5.0890E+02
673,1.4094E+00,1.2760E+00,5.1487E+02
674,1.4074E+00,1.2742E+00,5.1567E+02
675,1.3958E+00,1.2639E+00,5.1294E+02
676,1.4120E+00,1.2786E+00,5.2043E+02
677,1.3991E+00,1.2669E+00,5.1720E+02
678,1.4066E+00,1.2737E+00,5.2151E+02
679,1.3947E+00,1.2629E+00,5.1863E+02
680,1.3969E+00,1.2650E+00,5.2097E+02
681,1.3915E+00,1.2601E+00,5.2049E+02
682,1.3981E+00,1.2662E+00,5.2449E+02
683,1.3830E+00,1.2526E+00,5.2035E+02
684,1.3739E+00,1.2445E+00,5.1844E+02
685,1.3748E+00,1.2454E+00,5.2030E+02
