#""Wavelength (nm)""",Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,Photon Flux (Global Tilt)
2705,2.9315E-42,2.9273E-42,1.7300E-38
2710,1.1250E-35,1.1239E-35,6.6638E-32
2715,3.8557E-26,3.8549E-26,2.2923E-22
2720,5.6052E-45,5.6052E-45,3.3447E-41
2725,7.2935E-22,7.3094E-22,4.3682E-18
2730,6.0734E-19,6.0929E-19,3.6508E-15
2735,5.4888E-21,5.5121E-21,3.3115E-17
2740,2.3314E-27,2.3435E-27,1.4117E-23
2745,1.3146E-23,1.3224E-23,7.9894E-20
2750,1.6648E-28,1.6758E-28,1.0155E-24
2755,6.7262E-44,6.7262E-44,4.1176E-40
2760,0.0000E+00,0.0000E+00,0.0000E+00
2765,2.6777E-27,2.7001E-27,1.6511E-23
2770,8.3791E-24,8.4528E-24,5.1855E-20
2775,3.9990E-38,4.0360E-38,2.4838E-34
2780,4.8067E-34,4.8532E-34,2.9962E-30
2785,3.8866E-27,3.9255E-27,2.4314E-23
2790,1.2170E-16,1.2295E-16,7.6407E-13
2795,3.6205E-16,3.6591E-16,2.2812E-12
2800,1.6484E-12,1.6665E-12,1.0423E-08
2805,6.7478E-14,6.8228E-14,4.2821E-10
2810,4.0233E-10,4.0695E-10,2.5623E-06
2815,2.8685E-10,2.9018E-10,1.8333E-06
2820,2.0548E-11,2.0789E-11,1.3180E-07
2825,1.7605E-07,1.7814E-07,1.1332E-03
2830,3.9008E-06,3.9475E-06,2.5198E-02
2835,2.1276E-10,2.1533E-10,1.3792E-06
2840,1.9609E-07,1.9849E-07,1.2756E-03
2845,4.0575E-05,4.1074E-05,2.6488E-01
2850,1.1566E-06,1.1708E-06,7.5772E-03
2855,4.4867E-07,4.5425E-07,2.9497E-03
2860,2.5356E-05,2.5672E-05,1.6728E-01
2865,1.6763E-04,1.6974E-04,1.1098E+00
2870,6.3129E-06,6.3922E-06,4.1940E-02
2875,3.9170E-04,3.9663E-04,2.6113E+00
2880,2.4724E-04,2.5037E-04,1.6540E+00
2885,4.5332E-04,4.5906E-04,3.0432E+00
2890,1.8623E-04,1.8860E-04,1.2545E+00
2895,2.6643E-03,2.6982E-03,1.8010E+01
2900,8.1152E-04,8.2183E-04,5.5046E+00
2905,1.1096E-04,1.1237E-04,7.5525E-01
2910,2.7220E-03,2.7566E-03,1.8591E+01
2915,1.2581E-03,1.2742E-03,8.6224E+00
2920,2.8948E-03,2.9316E-03,1.9908E+01
2925,1.0835E-03,1.0973E-03,7.4768E+00
2930,5.8858E-03,5.9606E-03,4.0754E+01
2935,6.4903E-03,6.5725E-03,4.5094E+01
2940,1.6273E-03,1.6479E-03,1.1345E+01
2945,1.4489E-03,1.4673E-03,1.0135E+01
2950,5.2276E-03,5.2935E-03,3.6693E+01
2955,2.3361E-03,2.3655E-03,1.6453E+01
2960,4.5971E-03,4.6549E-03,3.2486E+01
2965,7.4379E-03,7.5313E-03,5.2739E+01
2970,3.5233E-04,3.5676E-04,2.5067E+00
2975,8.5429E-04,8.6499E-04,6.0984E+00
2980,1.3381E-03,1.3548E-03,9.5842E+00
2985,6.9628E-03,7.0495E-03,5.0039E+01
2990,1.0280E-02,1.0407E-02,7.4126E+01
2995,4.2755E-03,4.3286E-03,3.0932E+01
3000,7.8472E-03,7.9442E-03,5.6963E+01
3005,2.8906E-03,2.9261E-03,2.1053E+01
3010,6.8479E-03,6.9320E-03,5.0041E+01
3015,5.5551E-03,5.6232E-03,4.0729E+01
3020,6.3369E-04,6.4143E-04,4.6615E+00
3025,7.5031E-03,7.5948E-03,5.5376E+01
3030,6.0753E-03,6.1491E-03,4.4987E+01
3035,2.4986E-03,2.5290E-03,1.8563E+01
3040,2.0242E-03,2.0487E-03,1.5088E+01
3045,4.2090E-03,4.2599E-03,3.1477E+01
3050,1.0321E-03,1.0446E-03,7.7438E+00
3055,2.8947E-04,2.9295E-04,2.1790E+00
3060,6.3012E-03,6.3761E-03,4.7588E+01
